usuario,nombre,categoria,prioridad,senior,activo
modicocasting,Módico,casting,5,5,1
castingbite,Casting Bite,casting,5,5,1
ykcasting,YK Casting,casting,5,5,1
mariachavarricasting,María Chávarri,director_casting,5,5,1
danidiazve,Dani Díaz,director_casting,5,5,1
analambarricasting,Ana Lambarri,director_casting,5,5,1
arantzavelezcasting,Arantza Vélez,director_casting,5,5,1
ireneroque_casting,Irene Roqué,director_casting,5,5,1
equipdecasting.ireneroque,Irene Roqué Equipo,director_casting,5,5,1
lasantacasting,La Santa Casting,casting,5,5,1
loa_casting,LOA Casting,casting,5,4,1
tapcasting,TAP Casting,casting,5,4,1
badwolfcasting,Bad Wolf Casting,casting,5,4,1
clandestinocastings,Clandestino,portal,5,4,1
castingficcion,Casting Ficción,casting,5,4,1
vade_casting,VADE Casting,casting,5,4,1
,,,,,
,,,,,
,,,,,
unica_representaciones,,,,,
ipdtalent,,,,,
"pilarmodel,es",,,,,
isasimanagement,,,,,
selfcast.es,,,,,
ninesselas,,,,,
okagencia,,,,,
romatalents_agency,,,,,
olatztataycasting,,,,,
thomkenny,,,,,
romera_talent,,,,,
castingbite,,,,,
punki_talents,,,,,
thisprojectworks,,,,,
orochotalentagency,,,,,
lanecastinges,,,,,
404talents,,,,,
wantedagency,,,,,
equipocasting,,,,,
actrices_actores_farandula,,,,,
agency_since1996,,,,,
callbackstudios,,,,,
castingco,,,,,
ruth_franco_talent,,,,,
budaroses,,,,,
castingcastana,,,,,
isabelnavarro_actores,,,,,
davidoeo,,,,,
kasting_es,,,,,
stalentagency,,,,,
connection.cast,,,,,
mycastings.es,,,,,
accionactores,,,,,
doblemagency,,,,,
deborahborquecasting,,,,,
appolo.casting,,,,,
appolo.talents,,,,,
castingscarmengil,,,,,
sondecasting,,,,,
zerek_studio,,,,,
tresgarciatalent,,,,,
zerek_casting,,,,,
dinamicmodels,,,,,
eldesordencrea,,,,,
agenciariver_,,,,,
macutotalent,,,,,
congoproducciones,,,,,
lachisteraproducciones,,,,,
play.casting,,,,,
perfilmanagement,,,,,
kailash_es,,,,,
sagafilmbe,,,,,
the_post_office,,,,,
lalunarescasting,,,,,
casting_genteconangel,,,,,
representante_de_actores_olga,,,,,
velocasting,,,,,
acting20_,,,,,
bydavidperal,,,,,
brossontalentagency,,,,,
jenniferperezrepresentante,,,,,
actingpublicidad,,,,,
pzcasting.agencia,,,,,
premiereactors,,,,,
laiagraucasting,,,,,
francisfernandezfotos,,,,,
